Rank,Model,RMSE,MAPE,MAE,Type
1,Naive,8.934709965447492,2.89350657576026,7.486333333333339,Baseline
2,ARIMA,12.48784353065385,3.4110314596737434,9.191713186360502,Advanced
3,SES,17.614039628559464,5.98135216377131,15.388393623580106,Baseline
4,MA_12,20.164008473570448,7.074473744023092,18.251999999999956,Baseline
5,LSTM,22.345256834574137,7.745356275162169,20.01608937581381,Advanced
6,Seasonal_Naive,23.43978839850451,7.836572375290231,20.148000000000007,Baseline
7,Prophet,36.60118670018105,13.798960131304531,35.961446631242836,Advanced
8,Holt_Winters,40.71226613405868,12.594304877818137,33.5689879099073,Baseline
9,Holt,44.61547650151797,13.510463379866488,36.04407107076358,Baseline
